Name,Price,Area,Bedrooms,Description,Energy_rating,Agency
3 bedroom luxury penthouse for sale in Dubai,Price in application,950 m²,3,"Mina is home to 178 residences divided into one and two-bedroom apartments and penthouses. This beautifully crafted waterfront development hugs the shores and is caressed by the lapping sea, on the sands of one of the world's most sought-after addresses.Mina is a snow-white building with a streamlined shape and a large number of panoramic windows, which look similar to an ocean liner. The smooth horizontal rows of the balcony railings support this impression. Over the basement rises the ground floor and 9 more residential floors. The exterior of the building is favorably emphasized by the park around.Amenities:- Games room- Prayer room- BBQ area- Movie theater - Steam room- Sauna- Retail area- Restaurant- Bar- High-end European style finishes and fittings*Photos are for illustrative purposes only*For more details please call:INDER +971 55-3211999Whatsapp: BRN: 25891or contactR.K. Property Real Estate Broker+971 4-4239010ORN: 11838We apologize if the phone is busy or is not attended, please leave a simple text message stating your name and requirement, you'll be responded as soon as possible.                            </span>",Missing,https://www.luxuryestate.com/a11701365-rk-property-real-estate
"5 bedroom luxury Villa for sale in Dubai, United Arab Emirates",Price in application,781 m²,5,"Brought to you by Driven Properties, this 5 Bedroom Villa is located in Forest Villas, Mohammed Bin Rashid City.Unit Details:  * Maids room  * Private lift  * Family lounge  * Optional glass panel garage  * Flexi-kitchen  * Bathrooms: 6  * Built up Area: 8409 square feet  * Plot Area: 8409 square feetFeatures:  * Balcony  * 2-3 car garage  * Private pool  * Restaurants  * Mosque  * Shops  * Children's nurseryMBR City, is one of the biggest mixed-use developments and freehold areas in Dubai. Offers luxurious apartments, villas and mansions with futuristic designs. And a home to the world’s largest man-made lagoon.Call our Business Bay office for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402.Ask us about:  * Mortgage Advisory  * Property Management  * Holiday Homes  * Interior DesignVisit our offices across Dubai's most popular communities including:  * Business Bay  * Dubai Creek Harbour  * Jumeirah Village Circle  * Dubai Hills Estate                            </span>",Missing,https://www.luxuryestate.com/a11584065-driven-properties
5 bedroom luxury Apartment for sale in Dubai,Price in application,"1,541 m²",5,"Brought to you by Driven Properties, this Apartments, Villas, Townhouses, Mansions in Dubai, UAE.Business Bay is one of the trendy residential and professional hubs, set amidst the gleaming waters of the Dubai Canal. It is neighbours with Dubai’s quintessential ‘it’ neighbourhood, Downtown Dubai.The area is known for its cosmopolitan, fast-paced vibe attracting a huge population of young professionals working in Downtown Dubai, Sheikh Zayed Road and DIFC. The lifestyle here caters largely to young couples and singles, but off-late a lot of families have also been interested in the area, particularly to invest in apartments. In terms of nationalities, there is a good mix of expatriates, categorising Business Bay as a multi-cultural neighbourhood.Call our Dubai properties expert Khadija El Otmani on +971 56 113 2677.Since 2012, Driven Properties has grown to be one of the largest real estate platforms in the region. Through multiple branches in Dubai, Ajman, China, and Saudi Arabia, Driven Properties manages a portfolio of over 10,000 units.                            </span>",Missing,https://www.luxuryestate.com/a11584065-driven-properties
"Luxury Villa for sale in Dubai, United Arab Emirates",Price in application,781 m²,5,"Brought to you by Driven Properties, this 5 Bedroom Villa is located in Forest Villas, Mohammed Bin Rashid City.Unit Details:  * Maids room  * Private lift  * Family lounge  * Optional glass panel garage  * Flexi-kitchen  * Bathrooms: 6  * Built up Area: 8409 square feet  * Plot Area: 8409 square feetFeatures:  * Balcony  * 2-3 car garage  * Private pool  * Restaurants  * Mosque  * Shops  * Children's nurseryMBR City, is one of the biggest mixed-use developments and freehold areas in Dubai. Offers luxurious apartments, villas and mansions with futuristic designs. And a home to the world’s largest man-made lagoon.Call our Business Bay office for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402.Ask us about:  * Mortgage Advisory  * Property Management  * Holiday Homes  * Interior DesignVisit our offices across Dubai's most popular communities including:  * Business Bay  * Dubai Creek Harbour  * Jumeirah Village Circle  * Dubai Hills Estate                            </span>",Missing,https://www.luxuryestate.com/a11584065-driven-properties
6 bedroom luxury Villa for sale in Dubai,Price in application,"1,540 m²",6,"Property details:- Type B- 6 Bedrooms- 7 Bathrooms- Size: 16,580 sqft.- Landscaped Garden- Swimming PoolAl Barari is known as The Green Heart of Dubai. It is truly a unique destination. Al Barari is the region's first integrated luxury and active eco-conscious development. Surrounded by breathtaking views of the lake, this property is a rugged paradise, a truly unique land in Al Barari. The calm lake allows for an unhindered nature experience with the combination of seclusion, a large parcel of land, and stunning views.Don’t miss an exceptional, once-in-a-lifetime opportunity to be one of the first to own a spectacular lakefront property in Al Barari. This luxury lakefront community offers privacy and your own piece of paradise.For more details please call:INDER +971 55-3211999BRN: 25891or contactR.K. Property Real Estate Broker+971 4-4239010ORN: 11838We apologize if the phone is busy or is not attended, please leave a simple text message stating your name and requirement, you'll be responded as soon as possible.                            </span>",Missing,https://www.luxuryestate.com/a11701365-rk-property-real-estate
"3 bedroom luxury Apartment for sale in Dubai, United Arab Emirates ","2,202,700€",209 m²,3,"Brought to you by Driven Properties, this 3 Bedroom Apartment is located in Nikki Beach Resort and Spa Dubai, Jumeirah.Unit Details:  * Vacant  * Low floor  * View: Sea   * Kitchen: Open and Fully Fitted  * Bathrooms: 3  * Built-up Area: 2,257 square feet  * No. of Parking: 2  * Furnished: NoFeatures:  * Central air conditioning  * Gymnasium  * Swimming pool  * Restaurants  * Easy access to the major roadsJumeirah is one of the most sought-after residential areas along the coast of Dubai with a vibrant seaside community experience. This community is also known as one of the greatest hotels in the world, Burj Al Arab.Call our Business Bay office for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402.Ask us about:  * Mortgage Advisory  * Property Management  * Holiday Homes  * Interior DesignVisit our offices across Dubai's most popular communities including:  * Business Bay  * Dubai Creek Harbour  * Jumeirah Village Circle  * Dubai Hills Estate                            </span>",City,https://www.luxuryestate.com/a11584065-driven-properties
"Luxury Townhouse for sale in Dubai, United Arab Emirates",Price in application,591 m²,4,"Brought to you by Driven Properties, this Apartments, Villas, Townhouses, Mansions in Dubai, UAE.Bluewaters is a vibrant lifestyle destination featuring distinctive residential, retail, hospitality, and entertainment options. All who arrive are spoilt for choice. Home to Ain Dubai, the world’s largest observation wheel, it is also a shopper’s paradise, housing unique retail and dining concepts. Bluewaters’ bridge and multi-mode transport systems make this urban island easy to access.Call our Dubai properties expert Khadija El Otmani on +971 56 113 2677.Since 2012, Driven Properties has grown to be one of the largest real estate platforms in the region. Through multiple branches in Dubai, Ajman, China, and Saudi Arabia, Driven Properties manages a portfolio of over 10,000 units.                            </span>",Missing,https://www.luxuryestate.com/a11584065-driven-properties
"Luxury penthouse for sale in Dubai, United Arab Emirates",Price in application,845 m²,5,"*YOU CAN PURCHASE THIS PROPERTY WITH CRYPTOCURRENCIES*With just 39 ultra-high-end residences in a 32-story building, this will not only be an address like no other.The project consists of two towers, one housing a 5-star hotel and the other consisting of only 39 fully furnished and fully serviced residences. Entertain your guests in the luxurious Residents’ Lounge and Private Dining Room on the 24th floor which opens onto the breath-taking members-only Sky Garden with its own private access to the hotel’s spa and magnificent swimming pool on the rooftop.The Residences enjoys a 200-meter-wide water frontage on the Dubai Water Canal and is only a 5-minute drive from Burj Khalifa. The residents also have a 100-foot luxury yacht available for their personalized use.Interior design is timeless, designed by the famous French interior designers, Gilles &amp; Boissier, combining exquisite finishing, intricate details and a sumptuous material palette with unique features such as floor to ceiling glass, double-height spaces and expansive terraces.This development is designed to create a private, high quality and luxurious lifestyle statement in the heart of the city, just minutes away from the beating city centre and Downtown Dubai.Each bespoke residence embodies distinctive taste and intuitive elegance. Discreet luxury, a sumptuous selection of materials, and a brilliant and rigorous interplay of geometric forms.Precise, clean-lined symmetry is infused with a soulful touch, to powerfully embody exceptionally elegant and tasteful design that surprises and awakens while also allowing the resident to feel comfortable at home.The residences are all about personalized, private, impeccable service and amenities, featuring dedicated drop-off with valet parking, swift access to sports and relaxation facilities and the wondrous outdoor pool.Delecable options of culinary mastery await at the lobby and secret garden restaurant, the eclectic Mediterranean restaurant &amp; cafe, the magnificent rooftop bar &amp; restaurant, while signature fine dining is paired with amazing views at the sky garden, and in private dining rooms.Residence features :-- Bespoke interiors by world-renowned Gilles &amp; Boissier - Checkerboard marble entry foyers - Oak flooring across living rooms and bedrooms - Marble bathrooms with chevron stone flooring - Italian branded show kitchens with integrated seating - Furniture selections by Gilles and Boissier - Custom AV solutions - Flexible layout configurations - Cooking and cleaning appliances by Gaggenau - Beverage display and refrigeration by Sub Zero - Expansive residences with double height living areas - Floor to ceiling glazing, maximizing views - Large back of house kitchens and laundries - Choice of colour scheme for kitchens, bathrooms and general flooring - Seamless home automationExquiste living amenities :-• Fully equipped gym with yoga studio • Dressing room facilities • Beautifully landscaped gardens • Outdoor pool overlooking the stunning Downtown skyline • Members dining / function room with conference facilities and lounge • Access to all hotel facilities and rooftop infinity poolManaged services :-• 5-star experience at home • Attentive, discreet and professional • Residences Manager on call • Doorman and Porter services • Dedicated Concierge • Valet and car grooming • Direct hotel access • A la carte services on requestThis is not a residence that you want to buy. It’s one that you want to acquire!*All photos are from show apartments and may not be photos of the specific unit number mentioned.*                            </span>",Missing,https://www.luxuryestate.com/a11553043-crypto-properties
"Luxury Apartment for sale in Dubai, United Arab Emirates",Price in application,126 m²,2,"Brought to you by Driven Properties, this Apartments, Villas, Townhouses, Mansions in Dubai, UAE.Downtown Dubai is flanked by superlative structures – the breathtaking Dubai Mall and awe-inspiring Dubai Opera rest on either side of Emaar’s crown jewel, Burj Khalifa. Surging over 800 metres into the sky, the 500 kilo-tonne amalgamation of concrete, steel and aluminium is the tallest residential tower in the world. Opulent hotels line the carriageway, with multiple commercial, shopping and leisure venues scattered throughout open green spaces dotted with lakes and fountains. Statues, sculptures and other works of art abound the pedestrian walkways embroidering the neighbourhoods.Call our Dubai properties expert Khadija El Otmani on +971 56 113 2677.Since 2012, Driven Properties has grown to be one of the largest real estate platforms in the region. Through multiple branches in Dubai, Ajman, China, and Saudi Arabia, Driven Properties manages a portfolio of over 10,000 units.                            </span>",Missing,https://www.luxuryestate.com/a11584065-driven-properties
"5 room luxury Apartment for sale in Dubai, United Arab Emirates ","1,648,600€",240 m²,5,"International Virtual Property Show United Arab Emirates Come and meet ONLINE Real Estate Experts and Promoters at the 1st VIRTUAL real estate show dedicated to the Emirates on September 18, 19 &amp; 20, 2020. FREE entry upon registration: https://internationalvps.com/fr / event / uae International Virtual Property Show UAE Join Real Estate Experts &amp; Property Developers ON LINE on the 1st UAE VIRTUAL Property Show on 18, 19 &amp; 20 September 2020. FREE entry upon registration: https://internationalvps.com/en/event / uae SUMPTUOUS PROJECT OF 1 TO 4 BEDROOM APARTMENTS - MARINA AND PALM VIEW - DUBAI REF: DB167DBEBI Dream Immo Properties is pleased to present this sublime apartment project with an incredible sea view on the Palm Jumeirah in Dubai Marina. Dubai Marina is 20 minutes from Int. from Dubai, 25 min from Dubai Mall and Burj Khalifa. Step out onto your balcony and admire this panoramic view of the Marina and the Palm Jumeirah… Currently we have apartments ranging from 1 to 4 bedrooms available. This 240 sqm apartment is made up of 4 bedrooms with bathrooms, living room, dining room, kitchen, laundry room, sea view balconies and a parking space. The residence will offer facilities such as an infinity pool, gym, play areas, lush gardens, concierge service, 24/7 security… Residents will also have access to the private beach. The project is located close to all amenities such as shopping centers, restaurants, beach, schools, parks, airport ... Sale price: From 6,261,888 AED or approximately 1,527,000 € * (* excluding miscellaneous costs) Other availability - 1 Bdrm: 71 m² - From 1,434,888 AED i.e. around € 349,000 * - 2 BEDROOM: 102 m2 - From 1,991,888 AED i.e. around € 485,000 * - 3 BEDROOM: 166 m2 - From 4 173 888 AED or approximately € 1,018,000 * (* excluding miscellaneous costs) Delivery: 2nd quarter 2023 More information, documents, photos and on request. For investor wishing to seize a great opportunity in Dubai !!! Contact us for more information, photos or a visit. Dream Immo Properties present in France, Dubai, Abu Dhabi, Portugal and Mauritius.                            </span>",Sea,https://www.luxuryestate.com/a9974141-dream-immo-properties
Luxury Flat for sale in Dubai,Price in application,890 m²,5,"Property Amenities:- Concierge Service- Restaurants- Shopping Mall- Shops- Private Storage - BBQ Area- Residents Lounge Area- Gymnasium - Retail Area- Infinity Pool- Overflow Pool- Beach Access- Cafes- Schools- Shell and Core The FIVE JBR will boast 227 suites, 102 residence apartments, seven dining and nightlife venues, and a spa. Guests will also be able to make use of the pool and private beach, overlooking the soon-to-open Ain Dubai, and Palm Jumeirah skyline. Five Beach is due to open sometime in 2023, as the hotel is still currently under construction. Five Hotels and Resorts has been going from strength to strength despite the global pandemic and is also due to open its first international hotel in Zurich this year. Five Beach, which was formerly under construction as the Corinthia in Dubai`s Jumeirah Beach Residence, has been acquired by Five and subsequently rebranded.*Photos are for illustrative purposes only*For more details please call:INDER 055-3211999BRN: 25891or contactR.K. Property Real Estate Broker04-4239010ORN: 11838We apologize if the phone is busy or is not attended, please leave a simple text message stating your name and requirement, you'll be responded to as soon as possible.                            </span>",Missing,https://www.luxuryestate.com/a11701365-rk-property-real-estate
5 bedroom luxury Villa for sale in Dubai,Price in application,603 m²,5,"Property details:Size: 6,500 sqft. Price: AED 20,000,000Palm Jumeirah is a manmade island featuring residential properties / Commercial and 5 Stars hotels along with water parks, restaurant areas like the point, and many other features. The tree-shaped Palm Jumeirah island is known for glitzy hotels, posh apartment towers and upmarket global restaurants. It is also popular for its views of the Dubai coastline and the sail-shaped Burj Al Arab hotel. Beach clubs with spas and infinity pools turn into boisterous nightclubs with live DJs in the evening.For more details please call:INDER +971 55-3211999BRN: 25891or contactR.K. Property Real Estate Broker+971 4-4239010ORN: 11838We apologize if the phone is busy or is not attended, please leave a simple text message stating your name and requirement, you'll be responded as soon as possible.                            </span>",Missing,https://www.luxuryestate.com/a11701365-rk-property-real-estate
"5 bedroom luxury Villa for sale in Dubai, United Arab Emirates",Price in application,616 m²,5,"These are the photos of the show villa inspired by one of the most beautiful trees in the world, these semi-detached villas are meticulously designed and planned to complement Al Barari’s existing portfolio. The collection of 60 exquisite five-bedroom villas offers distinctive green living with inspired architecture and captivating views amid a relaxed and elegant atmosphere.Property details:- BUA: 6,634.44 sqft.- Plot size: 4,757.64 sqft.- 5 ensuite bedrooms- Open living and dining area- Entrance hall- Covered garage- Open kitchen that is flexible to be closed with its amenities- Laundry room- Maids room, a powder room- Office space- Completion December 2022Payment Plan:- 10% now- 10% 45 days from booking- 10% 90 days from booking with 4% DLD- DLD cheque on Dubai land department nameDesigned with a connection to nature at the core, floor-to-ceiling glass gazes upon the beautiful central courtyard. The office, kitchen, and living spaces open to the interior courtyard and to an outdoor garden and pool. Offers an unprecedented approach to sustainable living where family interaction and development is a focus.For more details please call:INDER +971 55-3211999BRN: 25891or contactR.K. Property Real Estate Broker+91 4-4239010ORN: 11838We apologize if the phone is busy or is not attended, please leave a simple text message stating your name and requirement, you'll be responded as soon as possible.                            </span>",Missing,https://www.luxuryestate.com/a11701365-rk-property-real-estate
